s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
 1.813E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.814E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.815E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.816E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.817E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.818E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.819E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.820E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.821E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.822E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.823E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.824E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.825E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.826E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.827E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.828E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.829E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.830E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.831E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.832E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.833E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.834E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.835E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.836E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.837E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.838E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.839E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.840E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.841E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.842E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.843E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.844E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.845E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.846E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.847E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.848E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.849E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.850E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.851E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.852E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.853E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.854E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.855E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.856E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.857E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.858E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.859E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.860E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.861E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.862E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.863E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.864E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.865E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.866E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.867E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.868E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.869E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.870E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.871E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.872E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.873E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.874E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.875E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.876E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.877E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.878E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.879E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.880E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.881E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.882E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.883E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.884E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.885E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.886E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.887E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.888E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.889E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.890E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.891E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.892E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.893E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.894E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.895E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.896E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.897E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.898E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.899E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.900E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.901E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.902E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.903E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.904E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.905E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.906E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.907E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.908E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.909E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.910E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.911E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.912E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.913E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.914E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.915E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.916E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.917E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.918E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.919E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.920E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.921E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.922E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.923E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.924E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.925E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.926E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.927E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.928E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.929E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.930E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.931E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.932E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.933E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.934E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.935E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.936E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.937E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.938E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.939E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.940E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.941E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.942E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.943E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.944E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.945E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.946E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.947E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.948E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.949E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.950E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.951E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.952E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.953E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.954E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.955E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.956E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.957E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.958E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.959E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.960E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.961E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.962E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.963E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.964E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.965E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.966E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.967E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.968E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.969E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.970E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.971E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.972E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.973E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.974E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.975E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.976E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.977E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.978E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.979E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.980E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.981E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.982E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.983E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.984E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.985E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.986E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.987E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.988E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.989E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.990E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.991E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.992E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.993E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.994E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.995E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.996E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.997E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.998E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 1.999E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 2.000E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 2.001E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 2.002E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 2.003E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 2.004E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
 2.005E+03, 4.861E+02, 0.000E+00, 6.018E+02, 0.000E+00, 6.853E+02, 0.000E+00, 7.514E+02, 0.000E+00
